target,model,imputation_id,rmse,mae,nrmse,bias,da,rmse_rank_within_imputation,RMSE_mean,RMSE_min,RMSE_max,RMSE_std,MAE_mean,MAE_min,MAE_max,MAE_std,nRMSE_mean,nRMSE_min,nRMSE_max,nRMSE_std,Bias_mean,Bias_min,Bias_max,Bias_std,DA_mean,DA_min,DA_max,DA_std,headline_rmse,headline_mae,rank_min,rank_max,rank_stable_across_imputations,claim_stability_note
co2_emissions,ST-GRU,,,,,,,,1452.5861861657872,1452.579316320279,1452.5933100937507,0.005097102716455345,398.3473492513507,398.32515946917005,398.3716902176726,0.01694400961409715,3.631097520730937,3.63108034785732,3.631115328746332,1.2741465678765667e-05,398.34733618906046,398.3250941577188,398.3716902176726,0.016965404161352535,0.46334586466165406,0.4633458646616541,0.4633458646616541,0.0,1428.3673157519618,398.3473492513507,5.0,5.0,True,rank_stable
gdp_growth,LastValue,m1,4.326604508379755,2.7909398703241894,1.1661156879587329,-1.5979724438902745,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,LastValue,m2,4.326604508379755,2.7909398703241894,1.1661156879587329,-1.5979724438902745,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,LastValue,m3,4.326604508379755,2.7909398703241894,1.1661156879587329,-1.5979724438902745,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,LastValue,m4,4.326604508379755,2.7909398703241894,1.1661156879587329,-1.5979724438902745,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,LastValue,m5,4.326604508379755,2.7909398703241894,1.1661156879587329,-1.5979724438902745,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,MT-GRU,m1,4.039237666267728,2.81479808713116,1.0003493578895497,-0.6901718135131352,64.15441176470588,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,MT-GRU,m2,4.016537030462213,2.7956565084130167,0.9947273647492662,-0.654352550589572,63.69485294117647,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,MT-GRU,m3,4.026964277631997,2.805301222980608,0.9973097555053139,-0.6689043165871922,64.0625,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,MT-GRU,m4,4.030802994981549,2.8077042352931185,0.9982604444107508,-0.6745198325503118,63.970588235294116,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,MT-GRU,m5,4.030647807947344,2.8102047217985007,0.9982220111065369,-0.6491146519645767,64.61397058823529,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,RandomForest,m1,3.7506269557167604,2.512924187730673,1.010876987779058,-1.0668624070822945,66.83291770573567,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,RandomForest,m2,3.7741720142671022,2.5632495598503744,1.0172229022476171,-1.057416605137157,65.08728179551122,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,RandomForest,m3,3.7765782977445244,2.5373153576558605,1.0178714489098468,-1.0800806436408976,65.33665835411472,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,RandomForest,m4,3.811190797103005,2.566999297955112,1.0272002836631071,-1.0861223390523689,64.83790523690773,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,RandomForest,m5,3.7323273551750527,2.5375858007481296,1.0059448403563542,-1.0868190754613467,63.84039900249376,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,ST-GRU,m1,4.010039928438062,2.777849104016739,0.9931183071156461,-0.5939979505625191,64.24632352941177,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,ST-GRU,m2,4.011282108843398,2.7828890504342105,0.993425942980449,-0.5526170525216356,64.43014705882352,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,ST-GRU,m3,4.0148882373735075,2.7820674035137047,0.9943190294147426,-0.5937035035077614,64.0625,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,ST-GRU,m4,4.004803452539376,2.789236110219689,0.9918214521783982,-0.5938683547253468,64.15441176470588,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,ST-GRU,m5,4.022024914681243,2.7967937311633335,0.9960864843560328,-0.5846292944689357,64.24632352941177,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_growth,LastValue,,,,,,,,4.326604508379755,4.326604508379755,4.326604508379755,0.0,2.7909398703241894,2.7909398703241894,2.7909398703241894,0.0,1.1661156879587329,1.1661156879587329,1.1661156879587329,0.0,-1.5979724438902745,-1.5979724438902745,-1.5979724438902745,0.0,0.0,0.0,0.0,0.0,3.896242230408234,2.793531663901132,4.0,4.0,True,rank_stable
gdp_growth,MT-GRU,,,,,,,,4.028837955458166,4.016537030462213,4.039237666267728,0.008217578043984538,2.806732955123281,2.7956565084130167,2.81479808713116,0.0071200497184656045,0.9977737867322836,0.9947273647492662,1.0003493578895497,0.002035148609441226,-0.6674126330409575,-0.6901718135131352,-0.6491146519645767,0.016401978276579954,0.6409926470588235,0.6369485294117647,0.6461397058823529,0.0033519453177960254,3.656574159665413,2.804630092570656,3.0,3.0,True,rank_stable
gdp_growth,RandomForest,,,,,,,,3.768979084001289,3.7323273551750527,3.811190797103005,0.0297770596926825,2.54361484078803,2.512924187730673,2.566999297955112,0.022081123308600858,1.0158232925911967,1.0059448403563542,1.0272002836631071,0.008025576726892495,-1.075460214074813,-1.0868190754613467,-1.057416605137157,0.012879704179311662,0.6518703241895262,0.6384039900249376,0.6683291770573566,0.01081270991954057,3.309917547085764,2.545793418443868,1.0,1.0,True,rank_stable
gdp_growth,ST-GRU,,,,,,,,4.012607728375118,4.004803452539376,4.022024914681243,0.00638634684690641,2.7857670798695353,2.777849104016739,2.7967937311633335,0.007387256095792079,0.9937542432090538,0.9918214521783982,0.9960864843560328,0.0015816296302375427,-0.5837632311572397,-0.5939979505625191,-0.5526170525216356,0.017864115758237875,0.6422794117647059,0.640625,0.6443014705882353,0.0013632717807161017,3.6407454745681904,2.7835274811206703,2.0,2.0,True,rank_stable
